City: C_1	Max Flow: 64
City: C_10	Max Flow: 220
City: C_11	Max Flow: 410
City: C_12	Max Flow: 300
City: C_13	Max Flow: 120
City: C_14	Max Flow: 465
City: C_15	Max Flow: 12450
City: C_16	Max Flow: 105
City: C_17	Max Flow: 5650
City: C_18	Max Flow: 215
City: C_19	Max Flow: 800
City: C_2	Max Flow: 560
City: C_20	Max Flow: 100
City: C_21	Max Flow: 135
City: C_22	Max Flow: 330
City: C_3	Max Flow: 110
City: C_4	Max Flow: 1350
City: C_5	Max Flow: 125
City: C_6	Max Flow: 240
City: C_7	Max Flow: 900
City: C_8	Max Flow: 0
City: C_9	Max Flow: 60
